provider,key,label,ticker,exchange,index,1M_pct,YTD_pct,1Y_pct,3Y_ann_pct,5Y_ann_pct,asof
CRSP,Large-Value,Large Value,VTV,US,CRSP US Large Cap Value,1.3222065676818051,12.425149610588559,6.695365273848397,12.476745292790948,13.489713326718755,2025-11-11
CRSP,Large-Blend,Large Blend,VV,US,CRSP US Large Cap,2.7298522553080407,18.025690765795567,15.734710382136186,22.115247537127924,15.452728006794093,2025-11-11
CRSP,Large-Growth,Large Growth,VUG,US,CRSP US Large Cap Growth,3.342159581343962,21.42639636313661,21.918103384662622,30.42335482387124,16.633222281955607,2025-11-11
CRSP,Mid-Value,Mid Value,VOE,US,CRSP US Mid Cap Value,1.9391390689796006,10.088282564761153,3.319691953045867,10.653192970343639,11.919382372041664,2025-11-11
CRSP,Mid-Blend,Mid Blend,VO,US,CRSP US Mid Cap,0.5835836872820188,11.756235739358733,6.205867575196944,13.2603180136873,10.536237574586526,2025-11-11
CRSP,Mid-Growth,Mid Growth,VOT,US,CRSP US Mid Cap Growth,-1.1087463957160537,13.6140906869888,9.606521376867017,16.146825384221096,9.083897971518695,2025-11-11
CRSP,Small-Value,Small Value,VBR,US,CRSP US Small Cap Value,1.2982576016399072,6.722076789503761,-0.8896769113297953,10.378529267252024,12.886195859713755,2025-11-11
CRSP,Small-Blend,Small Blend,VB,US,CRSP US Small Cap,0.8654074132616651,7.469973668277574,1.0394895180188657,11.70362057369385,9.846767232659182,2025-11-11
CRSP,Small-Growth,Small Growth,VBK,US,CRSP US Small Cap Growth,0.23853697323086287,8.318926491273725,3.351193888014814,13.374585418450668,5.761759900146757,2025-11-11
Russell,Large-Value,Large Value,IWD,US,Russell 1000 Value,2.1233318450166294,12.888852328658196,6.7240562296052575,12.282634431984762,12.19410477314613,2025-11-11
Russell,Large-Blend,Large Blend,IWB,US,Russell 1000,2.502472255796051,16.9650584323767,14.368958581978152,21.19285481686788,15.02476121474663,2025-11-11
Russell,Large-Growth,Large Growth,IWF,US,Russell 1000 Growth,2.8319603909684687,20.61876160566014,21.405119700635677,29.535824174364045,17.198022590319262,2025-11-11
Russell,Mid-Value,Mid Value,IWS,US,Russell Mid-Cap Value,1.5734265734265618,9.436375979563083,3.0042918454935785,10.601738314721686,11.25085323853523,2025-11-11
Russell,Mid-Blend,Mid Blend,IWR,US,Russell Mid-Cap,0.8922011126272889,9.87704561977878,4.096611012017903,12.864724042981512,10.424636236152818,2025-11-11
Russell,Mid-Growth,Mid Growth,IWP,US,Russell Mid-Cap Growth,-0.914462577377595,10.796743900319129,7.162447040708186,17.937461290942313,9.231020578918493,2025-11-11
Russell,Small-Value,Small Value,IWN,US,Russell 2000 Value,0.6019649043103037,9.418448512489697,-0.2851007421625362,8.422523978800278,11.140004810933268,2025-11-11
Russell,Small-Blend,Small Blend,IWM,US,Russell 2000,-0.1554764535002695,11.218923487597209,2.0603194346218823,11.140934061483886,8.824741192898644,2025-11-11
Russell,Small-Growth,Small Growth,IWO,US,Russell 2000 Growth,-0.7725426730587293,12.9469077238779,4.365721949624657,13.600080349238164,6.275813965793242,2025-11-11
