Ticker,YTD Return (%),1-Year Return (%),3-Year Return (%),5-Year Return (%)
EIRL,21.304018195602726,22.055319408925474,63.62674754396065,59.6806387225549
EDEN,4.118022662943512,-1.1323848678703332,27.134373759930742,31.052558973651536
EFNL,45.94972736245939,41.15836986644175,40.988493191264816,33.83128295254832
EWK,34.144249340070054,31.332997415600655,54.143562089840756,46.55026480617153
EWQ,27.81920594741283,27.356333591795124,49.37704044240123,62.6523505513639
EWO,55.7918518700425,58.27079674277503,94.54274481904213,129.65537214016797
EWH,39.636711515582654,38.12137939401293,29.666750187922812,11.23595505617978
EWA,10.425062021012675,4.777786301768097,26.39977399038484,40.3438559677236
EWG,30.546050550651294,31.53828324190683,76.70870309824068,55.620979505714864
EWC,27.125524277253042,24.436684981281935,56.368105699800275,92.98152473985985
EIS,37.77669260207579,53.55510928723186,73.41344447219996,97.53345264214097
PGAL,0.0,,9.484789946292475,17.42674347123243
EWJ,26.16997941737653,27.401096517177457,62.486794803827884,42.66008914981519
ENZL,0.23443907824544064,-2.2860915090208245,4.5140272505470405,-23.722803395313154
EWI,50.509525668664025,50.32325150323253,117.68841095643776,129.01716337275127
EWN,32.41216560973834,32.813017640621176,62.260990928122816,64.27261397772585
ENOR,26.38051296955604,22.415764933579645,30.800973839805234,50.83765575627497
EWS,32.52315893459582,32.825817901594945,70.8159404186312,71.35420432362085
EWD,30.543653359341615,27.404032544845414,53.67745472723461,43.75401621267749
EWP,68.2273430502402,63.07625275082642,143.12747128601015,129.92855076012196
AGT,0.0,,,19.82902333440836
MCHI,36.84931920157581,37.935229091951754,52.073225054003956,-12.616162019268485
INDA,3.761398176291787,3.763763611632472,26.24815088757395,59.876360719941225
ITOT,14.781793027290382,14.979463183002355,71.96909609000909,90.74467974183322
EWL,27.581841922661678,24.30906408558856,44.4655027424598,47.64701204009431
EPU,60.351879003009486,54.70556557863206,140.38498615684796,150.4912183420326
EPOL,66.52448387647158,65.91625503310067,164.52936849033955,128.99739897567906
EWZ,50.14933478142819,29.53094805879252,34.7050130726384,49.43051571092086
ECH,48.3799374984701,49.286200980190934,50.767100686887765,63.39237981427986
EZA,61.74205293376277,53.668993455476354,74.88669827280131,90.81664625288403
KWT,25.26520548466838,27.512113185606314,23.782407465475945,86.68104304400873
ICOL,0.0,,,2.8975587497148023
EWU,28.748517450436196,29.1934246376724,60.6837606837607,80.10771932336432
EWW,46.164116078922525,39.86537801312929,38.60822659001492,92.4524952688523
UAE,20.480413291183,29.593575079094673,34.71633672759472,107.73507005775839
KSA,-3.2727345194027486,-1.1624799232310297,5.44610245896074,41.674997628412335
QAT,10.184888929518229,9.682923361296748,2.33700901053883,28.84152859433458
TUR,-6.984251032092556,-4.703056464526914,14.384205578188656,67.64566290208168
EIDO,2.119053704176988,-4.039929413484537,-11.779669965729427,-1.1886393815419511
EWY,84.96757712713695,71.49624231382371,65.83014609894842,37.47225143124197
EPHE,-5.882352941176464,-6.495133971426379,-1.760130986492009,-19.638233974248333
EGPT,0.0,,-14.089171159353054,-96.28007820549897
EWM,10.133534307949176,13.942318047687765,34.96068536556743,14.1439205955335
EWT,25.908037094281305,26.205507571943148,80.580840198287,89.09751419609617
THD,-0.7286668190011969,-2.615839828378063,-11.093931194433718,-7.709157171384024
GREK,70.10140660778542,76.05395376552323,182.00422572485934,254.72604234883215
VNAM,48.711348733184664,51.256528293759764,78.23590524454174,-11.418064577158361
PAK,0.0,,9.493811219365861,-23.47171324910208
NGE,0.0,,-15.900249600863475,-36.87657175648534
