date,index_100_eur,index_100_usd,index_100_gbp
2020-01-31,100.0,100.0,100.0
2020-02-29,97317.82755431416,746.7340879569492,762.009776305748
2020-03-31,175207.69957012293,1247.420671738727,1528.683015385112
2020-04-30,-150071.25398920316,-1000.2690666171832,-1329.5030438458205
2020-05-31,-39405.79366648917,-408.7771386156986,-938.369757646341
2020-06-30,-26220.64489512564,-300.63091482649844,-396.2982640143609
2020-07-31,-6021.550241211599,-494.3681573575802,25.52393609243575
2020-08-31,-61770.55719162203,-571.4511041009463,-559.9765082428237
2020-09-30,18307.044988067573,295.49081462237893,-26.911953495486284
2020-10-31,23224.346427445307,223.36240489886805,375.2542018093545
2020-11-30,-126328.71005516447,-1146.7804787530151,-1320.685640941983
2020-12-31,-28837.816355666633,-435.72091297086655,-292.99534685627333
2021-01-31,-2773.8784097459666,41.08368899610318,103.3069148330979
2021-02-28,-37189.8890567301,-217.5821117090369,-99.5090718014919
2021-03-31,-74708.11844763134,-253.11746149563925,-552.7780129676439
2021-04-30,-24552.985650771556,-409.03692707366855,-591.284016580881
2021-05-31,1558.787830046317,-148.4598255706068,170.74060813732788
2021-06-30,-58559.4763707285,-125.51493783633325,-595.7028317272235
2021-07-31,-7989.6389699919355,-66.4965670810911,-27.007086435093974
2021-08-31,-39144.87190328427,-201.71545433297632,-469.6706891811485
2021-09-30,34077.71653715752,392.18090425207015,319.71830908152657
2021-10-31,-60559.138277682745,-500.4918831913562,-532.4242867405947
2021-11-30,-13917.32621243164,214.09112480889894,-85.56563103019988
2021-12-31,-46706.08225783217,-360.715244289479,-302.6371385420822
2022-01-31,39841.495548809,421.89348409693713,570.0131620665344
2022-02-28,42995.794356600694,283.939239239142,411.7354275688871
2022-03-31,-27444.869831455013,-180.10607795029873,-597.5492021245485
2022-04-30,30029.821862076504,748.5390930792622,567.7047297485749
2022-05-31,26821.78722211044,-41.47129585971336,-31.57128656218717
2022-06-30,68034.62748915373,752.1769761408881,704.1806286358358
2022-07-31,-126587.73197271116,-655.8536232363904,-1027.2023542113236
2022-08-31,35936.443687966734,404.92650653771955,-14.932850390823274
2022-09-30,98703.23317698947,871.6509280364938,811.3726229133855
2022-10-31,-65087.33872058486,-588.9030826589822,-501.0854375718916
2022-11-30,-58010.536507452125,-773.4574556223281,-440.85944477634655
2022-12-31,99058.88286206275,427.7214686525413,708.8524059994498
2023-01-31,-73091.66498465436,-696.3004713294354,-800.099212222464
2023-02-28,14795.1200522781,308.0931327434698,133.17130430574352
2023-03-31,-7115.160745409588,-309.20857005599623,-102.25216923752323
2023-04-30,-5126.4192437205475,-145.53749913222796,39.24941340792781
2023-05-31,-22277.189935117964,97.19573244501603,9.415422722188968
2023-06-30,-58046.87692679247,-536.678729458664,-513.6191435673919
2023-07-31,-27707.071218277906,-333.64499880815555,-363.61293958464614
2023-08-31,27213.294827927068,269.7902602175668,238.78862128028246
2023-09-30,12099.096553350792,397.08957312151466,78.0751258403939
2023-10-31,39210.38402065971,236.04405584884734,314.3907447711974
2023-11-30,-69219.31205962755,-824.5434655143459,-695.2564918803877
2023-12-31,-50879.98887214016,-446.54137437048405,-564.317048643832
2024-01-31,-30542.1263886615,-25.523339697332613,-89.07576593220791
2024-02-29,-59160.004597837134,-418.2229326862188,-722.175142745348
2024-03-31,-47926.32179125411,-302.7533997298305,-470.85858887672873
2024-04-02,-47926.32179125411,-302.7533997298305,-470.85858887672873
2024-04-03,-47958.96359053302,-304.47658113540734,-471.37329070298773
2024-04-04,-48024.247189090835,-306.05616409051953,-472.4026943555057
2024-04-05,-47689.66874648204,-302.7533997298305,-469.0337369472651
2024-04-08,-47771.2732446793,-304.38084883509754,-470.25030490024085
2024-04-09,-47575.42244900587,-302.80126587998535,-467.37265378070214
2024-04-10,-47754.95234503985,-300.98235217409865,-468.94015479703626
2024-04-11,-47869.19864251602,-300.4079583722397,-469.2676923228375
2024-04-12,-48032.40763891056,-299.5942338196062,-470.48426027581314
2024-04-15,-47910.000891614654,-298.9719738675923,-468.3786618956628
2024-04-16,-47167.39995801954,-293.9460281013263,-462.1554489054407
2024-04-17,-46889.94466414884,-292.60577589698875,-459.44156654880254
2024-04-18,-47028.672311084185,-293.99389425148127,-461.45358277872396
2024-04-19,-46628.81026991759,-291.72025211912285,-459.48835762391707
2024-04-22,-46734.89611757403,-291.69631904404537,-462.22563551811237
2024-04-23,-47224.523106757624,-296.38720175922697,-465.0564955625367
2024-04-24,-47240.844006397085,-296.2914694589171,-465.5010107761241
2024-04-25,-46710.41476811485,-293.65883120039683,-459.6287308492604
2024-04-26,-47510.13885044806,-297.63172166325467,-467.16209394268714
2024-04-29,-47567.26199918614,-298.9241077174374,-465.80515276436796
2024-04-30,-47428.53435225079,-297.2009263118605,-464.1206740602478
2024-05-01,,-294.3768234527205,-460.9856720275794
2024-05-02,-47200.041757298444,-296.339335609072,-463.6059722339888
2024-05-03,-47583.582898825596,-300.74302142332414,-468.0745199074189
2024-05-06,-47910.000891614654,,
2024-05-07,-48179.29573566563,-304.4287149852525,-474.6486659609993
2024-05-08,-48179.29573566563,-303.8543211833935,-475.2101588623728
2024-05-09,-48252.73978404318,-305.05097493726635,-476.5203089655775
2024-05-10,-48407.78833061798,-305.86469948989986,-477.92404121901103
2024-05-13,-48391.46743097852,-306.39122714160396,-477.17538401717985
2024-05-14,-48358.82563169962,-306.82202249299814,-476.70747326603527
2024-05-15,-48709.724973947865,-310.50771605492656,-479.2341913222157
2024-05-16,-48881.094420162124,-311.7043698087994,-480.82508787610703
